table_name,column_name,data_type,is_nullable,default_value,description
inventory,name,varchar,NO,,Inventory item name
inventory,description,text,YES,,Item description
inventory,sku,varchar,YES,,Stock keeping unit code
inventory,category,varchar,YES,,Item category
inventory,quantity,integer,NO,0,Current stock quantity
inventory,unitPrice,decimal(8.2),YES,,Cost per unit
inventory,supplier,varchar,YES,,Supplier name
inventory,reorderLevel,integer,NO,0,Minimum stock level before reorder
inventory,unit,varchar,YES,,Unit of measurement (each box gallon etc)

equipment,id,serial,NO,nextval(),Primary key
equipment,companyId,integer,NO,,Foreign key to companies table
equipment,customerId,integer,NO,,Foreign key to customers table
equipment,name,varchar,NO,,Equipment name
equipment,type,varchar,YES,,Equipment type (HVAC Unit Furnace AC Unit etc)
equipment,brand,varchar,YES,,Equipment brand
equipment,model,varchar,YES,,Equipment model
equipment,serialNumber,varchar,YES,,Equipment serial number
equipment,installDate,date,YES,,Date equipment was installed
equipment,warrantyExpiry,date,YES,,Warranty expiration date
equipment,lastServiceDate,date,YES,,Last service date
equipment,nextServiceDate,date,YES,,Next scheduled service date
equipment,notes,text,YES,,Additional equipment notes

technician_locations,id,serial,NO,nextval(),Primary key
technician_locations,technicianId,integer,NO,,Foreign key to technicians table
technician_locations,latitude,decimal(10.8),NO,,GPS latitude coordinate
technician_locations,longitude,decimal(11.8),NO,,GPS longitude coordinate
technician_locations,timestamp,timestamp,NO,now(),Location timestamp

job_routes,id,serial,NO,nextval(),Primary key
job_routes,technicianId,integer,NO,,Foreign key to technicians table
job_routes,date,date,NO,,Route date
job_routes,jobs,integer[],YES,,Array of job IDs in route
job_routes,optimizedRoute,jsonb,YES,,Optimized route data
job_routes,totalDistance,decimal(8.2),YES,,Total route distance
job_routes,estimatedTime,integer,YES,,Estimated time in minutes
job_routes,createdAt,timestamp,NO,now(),Record creation timestamp

sessions,sid,varchar,NO,,Session ID (primary key)
sessions,sess,jsonb,NO,,Session data
sessions,expire,timestamp,NO,,Session expiration time
